X,Y,Name,description,gx_media_links
106.6327751,10.7304042,Bến Phú Định,"<img src=""https://doc-04-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/hhenedrrr7v6i3q503k5u3aj78/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALpZ905sLCO0i7-AT0-qHxq_zYL3EQ89VX8grhkRYnwiBJynBvMGaCycusjfe6Vz68XZtaHSzNZVJ1vZJIlxtnmfq4fc_2ra7zaN9z-eSuAVo7IcSnLd4Z3Hj3VhxyR1pVOTT7_YVtVMglhtqfHAZvKmDUyYiRs4tD9Fuj0RjQEGWAQ4SJumqwEb_YAc1c9PZtfG28Z5XlTPWn_VS0c-9_bix3jYNHTcIfSCcfqtTHrNXslJG01tePx3wZO1SzboT9en-9Fh4MgxZiTe25no1XrBhdb8cw?fife"" height=""200"" width=""auto"" /><br><br>Bến-Phú-Định-(Từ-Hồ-Ngọc-Lãm---Cầu-Phú-Định)",https://doc-04-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/hhenedrrr7v6i3q503k5u3aj78/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALpZ905sLCO0i7-AT0-qHxq_zYL3EQ89VX8grhkRYnwiBJynBvMGaCycusjfe6Vz68XZtaHSzNZVJ1vZJIlxtnmfq4fc_2ra7zaN9z-eSuAVo7IcSnLd4Z3Hj3VhxyR1pVOTT7_YVtVMglhtqfHAZvKmDUyYiRs4tD9Fuj0RjQEGWAQ4SJumqwEb_YAc1c9PZtfG28Z5XlTPWn_VS0c-9_bix3jYNHTcIfSCcfqtTHrNXslJG01tePx3wZO1SzboT9en-9Fh4MgxZiTe25no1XrBhdb8cw?fife
106.6186908,10.7117562,Đường An Dương Vương,"<img src=""https://doc-14-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/bn0isq0vp5sn8pan99sjtlgt30/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrE1U6tjj5kXFLPSznWhsyZU41vyo3haSq5ANjHC0WZryWAyGSlv2FKH85ijrNE_IFWllF3wAHcrw0r5eoeuXZtMQyH6HDrRqXcGIPU3mZk7neRRUHC09W2YPn7WTmFP5YxbJ-fWvg_h8j-ePF1Fw5YmIfp5QnPA60sLfmfVbvDUWKffAt30iFXwyD3LKtUzW-R7DGR0EN7lp-m9WQvReiAez7GPiWONqNdQzEvxV485ggNw7A5x9uBpTbcBdTD7Ql7COL0JahJFs7W_OwVKarhG-HeNA?fife"" height=""200"" width=""auto"" /><br><br>Đường-An-Dương-Vương-(Từ-Bến-Phú-Định---Cầu-Mỹ-Thuận)",https://doc-14-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/bn0isq0vp5sn8pan99sjtlgt30/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrE1U6tjj5kXFLPSznWhsyZU41vyo3haSq5ANjHC0WZryWAyGSlv2FKH85ijrNE_IFWllF3wAHcrw0r5eoeuXZtMQyH6HDrRqXcGIPU3mZk7neRRUHC09W2YPn7WTmFP5YxbJ-fWvg_h8j-ePF1Fw5YmIfp5QnPA60sLfmfVbvDUWKffAt30iFXwyD3LKtUzW-R7DGR0EN7lp-m9WQvReiAez7GPiWONqNdQzEvxV485ggNw7A5x9uBpTbcBdTD7Ql7COL0JahJFs7W_OwVKarhG-HeNA?fife
106.6133344,10.7186136,Hồ Ngọc Lãm,"<img src=""https://doc-10-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/0pfslm5j4q3rk7tdk5744a387g/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALr8BaOgfnf7eI2mNsegXCg2qOIW3HpZAOv9Z4cm2MLwdyy4K6jTB0tcV3NfUaq_mpkGaPfeF88XyrBm_0HeQ9q5JTpsl0d1VxuFRi-WdAi5YBJfHtBYMf_ZXBWpBEkF8zjHpvFczw8LZO-aaac5M7tLJwpRLKjseJ_r4SVNoDTVGIF6EAf3TwN-hKY-oZlVJHBLHTINxBSmrQz0R7bC023X05xj55CiS_P9m-v4i59qctBg85kCxfeSBFmSMrrZ7UMEfHJN3YY68bi78g9068_nlP19Hg?fife"" height=""200"" width=""auto"" /><br><br>Đường-Hồ-Ngọc-Lãm-(Từ-Bến-Phú-Định---Rạch-Bà-Lựu)",https://doc-10-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/0pfslm5j4q3rk7tdk5744a387g/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALr8BaOgfnf7eI2mNsegXCg2qOIW3HpZAOv9Z4cm2MLwdyy4K6jTB0tcV3NfUaq_mpkGaPfeF88XyrBm_0HeQ9q5JTpsl0d1VxuFRi-WdAi5YBJfHtBYMf_ZXBWpBEkF8zjHpvFczw8LZO-aaac5M7tLJwpRLKjseJ_r4SVNoDTVGIF6EAf3TwN-hKY-oZlVJHBLHTINxBSmrQz0R7bC023X05xj55CiS_P9m-v4i59qctBg85kCxfeSBFmSMrrZ7UMEfHJN3YY68bi78g9068_nlP19Hg?fife
106.6201164,10.7255368,Đường số 41,"<img src=""https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/6obkvb5cpqh9k9bljg4glu20hs/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALokhC8jqc0ywgU4yqyaU6LUt-FE3E7ORuabz5Dt9KpTmIBwXPTV7d3G2CDdZoAv4t_B4-gi1DlO4WXL5rxmM6SsmA8hcosobPUVJAAtoAZtpgpznGAVdZJZ8982mAvW3AiENPtdJJ5rPRRvPS3Wkc1ac2ARujupB5S-aqLhlOB3p5hBPYPn4m5-KynjPqUKD3axaN4BdjHVRlti6KZQgORWuNqjZUT6962iYmkTz9Ox9-G-S88Ly_yIJlqHa0hCcsPWvuhh_n7w4MCqpPhVjwfrnUf7ZA?fife"" height=""200"" width=""auto"" /><br><br>Từ An Dương Vương - Cầu số 41",https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/6obkvb5cpqh9k9bljg4glu20hs/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALokhC8jqc0ywgU4yqyaU6LUt-FE3E7ORuabz5Dt9KpTmIBwXPTV7d3G2CDdZoAv4t_B4-gi1DlO4WXL5rxmM6SsmA8hcosobPUVJAAtoAZtpgpznGAVdZJZ8982mAvW3AiENPtdJJ5rPRRvPS3Wkc1ac2ARujupB5S-aqLhlOB3p5hBPYPn4m5-KynjPqUKD3axaN4BdjHVRlti6KZQgORWuNqjZUT6962iYmkTz9Ox9-G-S88Ly_yIJlqHa0hCcsPWvuhh_n7w4MCqpPhVjwfrnUf7ZA?fife
106.7723063,10.8209504,Đường Đỗ Xuân Hợp,"<img src=""https://doc-0c-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/480u9kljo8kuuc9mcbctdb4lu4/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrgFj579bioEATj73Icn1q0WeG7dxYgepmHS8OOitmS2rXC6zw2g_1nZG3zIzGNqOQNYPCMhE82o0Bl4b29JMfmjpLL3xCx2lIYZeKwN4bS1Nm4GLSHPJj6JUhwnNypZrAQej1D4Sx0sKyv3ib5pMF6b55ygPLbZVFQrywz0T5Nyrk2d-29mcgoNlYoDNfOR6WIhyrWeX1cMSqI53MgQIm48gUoYPLqIaEO1gs48H5BLR94FiZLvBGYWS317MFHpWvZcNaPnjBwk9ffU8OyJ8J_isv5Ww?fife"" height=""200"" width=""auto"" /><br><br>Trước trường TH Kỹ Nghệ",https://doc-0c-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/480u9kljo8kuuc9mcbctdb4lu4/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrgFj579bioEATj73Icn1q0WeG7dxYgepmHS8OOitmS2rXC6zw2g_1nZG3zIzGNqOQNYPCMhE82o0Bl4b29JMfmjpLL3xCx2lIYZeKwN4bS1Nm4GLSHPJj6JUhwnNypZrAQej1D4Sx0sKyv3ib5pMF6b55ygPLbZVFQrywz0T5Nyrk2d-29mcgoNlYoDNfOR6WIhyrWeX1cMSqI53MgQIm48gUoYPLqIaEO1gs48H5BLR94FiZLvBGYWS317MFHpWvZcNaPnjBwk9ffU8OyJ8J_isv5Ww?fife
106.768975,10.8257056,Đỗ Xuân Hợp,"<img src=""https://doc-00-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/0uvtnjdfta3j0a3aus5b0286a4/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALo6WRnyX9sHACXeQ8YRcg2O-osEpRWxhBoLbtGfMd73NCAluiePJzo3Q1uWWTV1l2eIqZA8MAdD3Zj61g8hWjE80CrOLyR6rRh310vhDiWjyCvqlkryvzHE_qRMfEz1j7PWUBbwJ0fvyCCVEZLTVh9m7fUdi3cW5pSPpSljkKzfHgRs6q7lnPTXEd8vFRmbzcQ4A8inID_h8m33jI0EnPpI0_1kZjj6CJ4yJNTCxQYUD8K3FdWhUu02V3e6Kn0C688NMvUsqbZeGwO58NF2gq1jvOyFdg?fife"" height=""200"" width=""auto"" /><br><br>Trước UBND Phường Phước Bình",https://doc-00-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/0uvtnjdfta3j0a3aus5b0286a4/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALo6WRnyX9sHACXeQ8YRcg2O-osEpRWxhBoLbtGfMd73NCAluiePJzo3Q1uWWTV1l2eIqZA8MAdD3Zj61g8hWjE80CrOLyR6rRh310vhDiWjyCvqlkryvzHE_qRMfEz1j7PWUBbwJ0fvyCCVEZLTVh9m7fUdi3cW5pSPpSljkKzfHgRs6q7lnPTXEd8vFRmbzcQ4A8inID_h8m33jI0EnPpI0_1kZjj6CJ4yJNTCxQYUD8K3FdWhUu02V3e6Kn0C688NMvUsqbZeGwO58NF2gq1jvOyFdg?fife
106.7818952,10.844257,Lê Văn Việt,"<img src=""https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/o2hr1egj4ktmjjij7loj44vu4s/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALo30AdTl-4DBGjxLkGWvTwSxT3xtQGH3dYzqbxY5yL11XCRV4PzliXoYf2JInHFab1HRV5jCZ4woL8n80V9xhI8IfeDbWxEFk9JoKPuR3Os2N_TpjnvWaDdqGhs4EMLn-2nU7mApoGatod37yeTn1JhX4vJfXw40IGYKJuB3VqYr9S3A0NSl7CDyio8mL2iYM_Il450As90tijJfDH_twsWnzfuuXu3laQV_lEOWRk278cPPiDB8RI1nLaCbbk9ZqhW19rRpuThGycBm_xNwG4BcldKew?fife"" height=""200"" width=""auto"" /><br><br>Từ Đình Phong Phú - Hẻm 201",https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/o2hr1egj4ktmjjij7loj44vu4s/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALo30AdTl-4DBGjxLkGWvTwSxT3xtQGH3dYzqbxY5yL11XCRV4PzliXoYf2JInHFab1HRV5jCZ4woL8n80V9xhI8IfeDbWxEFk9JoKPuR3Os2N_TpjnvWaDdqGhs4EMLn-2nU7mApoGatod37yeTn1JhX4vJfXw40IGYKJuB3VqYr9S3A0NSl7CDyio8mL2iYM_Il450As90tijJfDH_twsWnzfuuXu3laQV_lEOWRk278cPPiDB8RI1nLaCbbk9ZqhW19rRpuThGycBm_xNwG4BcldKew?fife
106.7568138,10.8133602,Xa Lộ Hà Nội,"<img src=""https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/q3bbj96e8p5kmsd7m4m75ip76s/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALqs3D8p04Y_0FiXgytWXOLEBJUjz0AFJmrz0pz3AlsjdC6yTgErK_sHTNK3NtsjDKS-j5t8a_4D559uthuOVUIZT92OmBkfZEoqVZFmqtvhCJ2gylR0AVUcekqsYn4COrdMgSGr0Y1ZdC6b15awnhXZdqlXgIIC0a-jCA1I2_zEdhx-a-k3DxnO2BcM_KNnvH-cIjd6GQgvDburz_eME-Ip0w5SXjPxiTMsUsvcLD0j6OIFfsaVXnlhDMsZrFhgNfNKiTnavzSZmCUkDLot0kvOpHspYQ?fife"" height=""200"" width=""auto"" /><br><br>Đoạn chân cầu Rạch Chiếc",https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/q3bbj96e8p5kmsd7m4m75ip76s/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALqs3D8p04Y_0FiXgytWXOLEBJUjz0AFJmrz0pz3AlsjdC6yTgErK_sHTNK3NtsjDKS-j5t8a_4D559uthuOVUIZT92OmBkfZEoqVZFmqtvhCJ2gylR0AVUcekqsYn4COrdMgSGr0Y1ZdC6b15awnhXZdqlXgIIC0a-jCA1I2_zEdhx-a-k3DxnO2BcM_KNnvH-cIjd6GQgvDburz_eME-Ip0w5SXjPxiTMsUsvcLD0j6OIFfsaVXnlhDMsZrFhgNfNKiTnavzSZmCUkDLot0kvOpHspYQ?fife
106.674749,10.7626429,Trần Nhân Tông,"<img src=""https://doc-04-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/vtedu2ejk2jj21v44ajhslljrc/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALq2Vk0wTZZiuxSInl8nVDmdDuw6fMGEcJfdf7NzZAviPUyfRP0i9Ux0ztvCPl1hyKrO-7UOCPRURz-iuOI_1XvcLFz3rbA8AthHCszzf6wYeXGbgWCYMF3xPThFRjy2UiSeYA84vOlRY8KVPpnA0MmgnrSRGbiFp9JIWYJ5eQDnnrR1r8taBEq3FrxOXHEYlVTcck33g40AWyQJ-nB8GoJhDzQmsLqMT2dYZSsSA068JFESjeHbl35w8_tXQrLN61Ui3oDwU9YXwAFlqcV6AkWOLztuuQ?fife"" height=""200"" width=""auto"" /><br><br>Đường-Trần-Nhân-Tông-(Từ-Hòa-Hảo---Hùng-Vương)",https://doc-04-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/vtedu2ejk2jj21v44ajhslljrc/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALq2Vk0wTZZiuxSInl8nVDmdDuw6fMGEcJfdf7NzZAviPUyfRP0i9Ux0ztvCPl1hyKrO-7UOCPRURz-iuOI_1XvcLFz3rbA8AthHCszzf6wYeXGbgWCYMF3xPThFRjy2UiSeYA84vOlRY8KVPpnA0MmgnrSRGbiFp9JIWYJ5eQDnnrR1r8taBEq3FrxOXHEYlVTcck33g40AWyQJ-nB8GoJhDzQmsLqMT2dYZSsSA068JFESjeHbl35w8_tXQrLN61Ui3oDwU9YXwAFlqcV6AkWOLztuuQ?fife
